Stock Symbol,Price,Low52,High52,Change,Day Low,Day High,Volume,Average Volume,Return 52 week,Market Cap,PE Ratio,EPS,Previous Close
JPC,7.590000152587891,5.94,7.8,-0.029999732971191406,7.590000152587891,7.639999866485596,713600.0,925425.0,0.14999998,2424883712.0,253.00002,0.03,7.58
MUC,11.130000114440918,9.19,11.38,0.010000228881835938,11.069999694824219,11.140000343322754,139500.0,235600.0,0.025806427,1048266880.0,55.65,0.2,11.07
NAC,11.59000015258789,9.32,11.78,0.07999992370605469,11.510000228881836,11.619999885559082,152900.0,422301.0,0.068202734,1677328000.0,15.051949,0.77,11.52
PCK,5.889999866485596,4.85,6.07,0.0,5.880000114440918,5.900000095367432,52900.0,67588.0,-0.026446283,189970160.0,12.020408,0.49,5.87
AAPL,217.9600067138672,164.08,237.23,-0.739990234375,216.00999450683594,219.49000549316406,41580100.0,68059888.0,0.109493494,3342220656640.0,33.897358,6.43,217.49
MSFT,425.2699890136719,309.45,468.35,7.069976806640625,417.2699890136719,428.9200134277344,23566500.0,18617125.0,0.26598597,3160738365440.0,36.88378,11.53,418.4
QCOM,180.0500030517578,104.33,230.63,1.040008544921875,177.57000732421875,181.3000030517578,6566000.0,10053003.0,0.3622607,200935800832.0,23.9747,7.51,175.39
META,465.70001220703125,274.38,542.81,1.5,459.4200134277344,469.7699890136719,14209300.0,13327972.0,0.46170747,1181262020608.0,26.810593,17.37,453.41
PANW,326.80999755859375,201.17,380.84,3.579986572265625,321.2699890136719,329.1600036621094,1709000.0,3306362.0,0.30744922,105821077504.0,47.15873,6.93,320.13
CRM,262.7099914550781,193.68,318.71,4.53997802734375,257.07000732421875,264.489990234375,6126400.0,8324309.0,0.16754806,254565974016.0,47.16517,5.57,256.52
GOOG,168.67999267578125,121.46,193.31,-0.0900115966796875,165.86500549316406,169.83999633789062,25135400.0,18067361.0,0.26722264,2065216569344.0,24.200861,6.97,169.16
ADBE,542.4400024414062,433.97,638.25,7.09002685546875,533.3300170898438,545.5,2089600.0,3344001.0,-0.006829381,240517890048.0,48.780575,11.12,532.15
IBM,191.75,135.87,199.18,1.2400054931640625,189.6199951171875,193.57000732421875,4294000.0,3707666.0,0.32993484,176142123008.0,21.187845,9.05,191.98
CSCO,47.880001068115234,44.95,58.19,0.5600013732910156,47.2400016784668,48.0099983215332,16104400.0,19907638.0,-0.07993853,192899432448.0,16.175676,2.96,47.24
WMT,69.77999877929688,49.84667,71.33,-0.45000457763671875,68.83000183105469,70.23999786376953,16787700.0,15426162.0,0.30952084,561278222336.0,29.948498,2.33,70.02
KVUE,18.690000534057617,17.67,24.435,0.31999969482421875,18.309999465942383,18.78499984741211,11484600.0,22115385.0,-0.21072638,35787800576.0,23.96154,0.78,18.25
BABA,76.52999877929688,66.63,102.5,1.2699966430664062,74.55000305175781,76.7699966430664,10864800.0,15643266.0,-0.25088096,181836038144.0,17.75638,4.31,75.4
TXN,201.99000549316406,139.48,210.84,1.5200042724609375,199.0800018310547,204.3800048828125,5384400.0,5252459.0,0.12216663,184426168320.0,34.946365,5.78,197.15
JPM,212.24000549316406,135.19,217.56,3.0,208.6199951171875,213.16000366210938,8027300.0,8989245.0,0.34363127,603844050944.0,11.837145,17.93,208.67
BAC,41.66999816894531,24.96,44.44,0.089996337890625,41.40999984741211,41.959999084472656,52039800.0,35656348.0,0.30218744,323973840896.0,14.621053,2.85,41.68
MS,104.19000244140625,69.42,109.11,-0.6699981689453125,104.04000091552734,105.88999938964844,6599600.0,6262570.0,0.13794231,168683618304.0,17.136515,6.08,103.56
V,259.4599914550781,227.78,290.96,3.8699951171875,255.58999633789062,261.20001220703125,7061500.0,8168841.0,0.091406226,504878039040.0,27.779442,9.34,253.74
PYPL,58.290000915527344,50.25,76.54,0.69000244140625,56.970001220703125,58.310001373291016,11316900.0,11917103.0,-0.23120546,60974256128.0,14.68262,3.97,57.22
SQ,60.18000030517578,38.85,87.52,-0.3699989318847656,59.86000061035156,61.65999984741211,11376400.0,7708783.0,-0.25270087,37133529088.0,100.299995,0.6,61.58
C,65.18000030517578,38.17,67.81,0.6299972534179688,64.44000244140625,65.6500015258789,9659300.0,12072245.0,0.3676039,125517127680.0,18.005526,3.62,64.37
ADSK,240.86000061035156,192.01,279.53,-2.94000244140625,239.99000549316406,245.33999633789062,1267100.0,2020925.0,0.13618565,51907497984.0,52.36087,4.6,242.23
FDX,300.1400146484375,224.69,313.84,0.290008544921875,297.4700012207031,302.17999267578125,1200800.0,1766982.0,0.11183548,73324806144.0,17.45,17.2,298.59
UPS,128.8300018310547,124.8,188.32,-0.0099945068359375,128.4600067138672,129.86000061035156,7269900.0,4104874.0,-0.3115481,110221664256.0,21.016314,6.13,127.08
GM,44.119998931884766,26.3,50.5,-0.15999984741210938,43.65999984741211,44.54999923706055,18409100.0,14142908.0,0.14985669,49587347456.0,4.9573035,8.9,44.13
EXC,36.75,33.35,42.16,0.1399993896484375,36.529998779296875,36.880001068115234,4552500.0,7205719.0,-0.12207359,36751101952.0,15.772532,2.33,36.48
JNJ,160.63999938964844,143.13,175.97,0.8899993896484375,159.47000122070312,161.5800018310547,8356400.0,7306390.0,-0.041126966,386699034624.0,24.339394,6.6,159.64
BP,35.25,33.52,40.84,0.04000091552734375,34.959999084472656,35.41999816894531,7134400.0,7283606.0,-0.054959774,96901898240.0,10.879629,3.24,35.18
MCK,600.1599731445312,395.3,612.17,2.92999267578125,594.0399780273438,603.1699829101562,634100.0,719296.0,0.49145126,77847347200.0,26.804823,22.39,595.73
MGA,43.529998779296875,40.83,65.27,-0.020000457763671875,42.900001525878906,43.65999984741211,1087400.0,1826709.0,-0.3233328,12515396608.0,12.331445,3.53,43.23
VZ,40.09000015258789,30.14,43.42,0.18999862670898438,39.650001525878906,40.16999816894531,15908700.0,17336167.0,0.17634976,168759656448.0,15.071428,2.66,39.95
PLTR,27.18000030517578,13.68,29.83,0.18000030517578125,26.770000457763672,27.34000015258789,27372600.0,45346646.0,0.3699597,60527140864.0,226.5,0.12,26.63
DOCU,55.900001525878906,38.11,64.76,0.12000274658203125,55.29999923706055,56.5,1008500.0,2286216.0,0.038647294,11443624960.0,107.50001,0.52,55.1
JPC,7.590000152587891,5.94,7.8,-0.029999732971191406,7.590000152587891,7.639999866485596,713600.0,925425.0,0.14999998,2424883712.0,253.00002,0.03,7.58
MUC,11.130000114440918,9.19,11.38,0.010000228881835938,11.069999694824219,11.140000343322754,139500.0,235600.0,0.025806427,1048266880.0,55.65,0.2,11.07
NAC,11.59000015258789,9.32,11.78,0.07999992370605469,11.510000228881836,11.619999885559082,152900.0,422301.0,0.068202734,1677328000.0,15.051949,0.77,11.52
PCK,5.889999866485596,4.85,6.07,0.0,5.880000114440918,5.900000095367432,52900.0,67588.0,-0.026446283,189970160.0,12.020408,0.49,5.87
AAPL,217.9600067138672,164.08,237.23,-0.739990234375,216.00999450683594,219.49000549316406,41580100.0,68059888.0,0.109493494,3342220656640.0,33.897358,6.43,217.49
MSFT,425.2699890136719,309.45,468.35,7.069976806640625,417.2699890136719,428.9200134277344,23566500.0,18617125.0,0.26598597,3160738365440.0,36.88378,11.53,418.4
QCOM,180.0500030517578,104.33,230.63,1.040008544921875,177.57000732421875,181.3000030517578,6566000.0,10053003.0,0.3622607,200935800832.0,23.9747,7.51,175.39
META,465.70001220703125,274.38,542.81,1.5,459.4200134277344,469.7699890136719,14209300.0,13327972.0,0.46170747,1181262020608.0,26.810593,17.37,453.41
PANW,326.80999755859375,201.17,380.84,3.579986572265625,321.2699890136719,329.1600036621094,1709000.0,3306362.0,0.30744922,105821077504.0,47.15873,6.93,320.13
CRM,262.7099914550781,193.68,318.71,4.53997802734375,257.07000732421875,264.489990234375,6126400.0,8324309.0,0.16754806,254565974016.0,47.16517,5.57,256.52
GOOG,168.67999267578125,121.46,193.31,-0.0900115966796875,165.86500549316406,169.83999633789062,25135400.0,18067361.0,0.26722264,2065216569344.0,24.200861,6.97,169.16
ADBE,542.4400024414062,433.97,638.25,7.09002685546875,533.3300170898438,545.5,2089600.0,3344001.0,-0.006829381,240517890048.0,48.780575,11.12,532.15
IBM,191.75,135.87,199.18,1.2400054931640625,189.6199951171875,193.57000732421875,4294000.0,3707666.0,0.32993484,176142123008.0,21.187845,9.05,191.98
CSCO,47.880001068115234,44.95,58.19,0.5600013732910156,47.2400016784668,48.0099983215332,16104400.0,19907638.0,-0.07993853,192899432448.0,16.175676,2.96,47.24
WMT,69.77999877929688,49.84667,71.33,-0.45000457763671875,68.83000183105469,70.23999786376953,16787700.0,15426162.0,0.30952084,561278222336.0,29.948498,2.33,70.02
KVUE,18.690000534057617,17.67,24.435,0.31999969482421875,18.309999465942383,18.78499984741211,11484600.0,22115385.0,-0.21072638,35787800576.0,23.96154,0.78,18.25
BABA,76.52999877929688,66.63,102.5,1.2699966430664062,74.55000305175781,76.7699966430664,10864800.0,15643266.0,-0.25088096,181836038144.0,17.75638,4.31,75.4
TXN,201.99000549316406,139.48,210.84,1.5200042724609375,199.0800018310547,204.3800048828125,5384400.0,5252459.0,0.12216663,184426168320.0,34.946365,5.78,197.15
JPM,212.24000549316406,135.19,217.56,3.0,208.6199951171875,213.16000366210938,8027300.0,8989245.0,0.34363127,603844050944.0,11.837145,17.93,208.67
BAC,41.66999816894531,24.96,44.44,0.089996337890625,41.40999984741211,41.959999084472656,52039800.0,35656348.0,0.30218744,323973840896.0,14.621053,2.85,41.68
MS,104.19000244140625,69.42,109.11,-0.6699981689453125,104.04000091552734,105.88999938964844,6599600.0,6262570.0,0.13794231,168683618304.0,17.136515,6.08,103.56
V,259.4599914550781,227.78,290.96,3.8699951171875,255.58999633789062,261.20001220703125,7061500.0,8168841.0,0.091406226,504878039040.0,27.779442,9.34,253.74
PYPL,58.290000915527344,50.25,76.54,0.69000244140625,56.970001220703125,58.310001373291016,11316900.0,11917103.0,-0.23120546,60974256128.0,14.68262,3.97,57.22
SQ,60.18000030517578,38.85,87.52,-0.3699989318847656,59.86000061035156,61.65999984741211,11376400.0,7708783.0,-0.25270087,37133529088.0,100.299995,0.6,61.58
C,65.18000030517578,38.17,67.81,0.6299972534179688,64.44000244140625,65.6500015258789,9659300.0,12072245.0,0.3676039,125517127680.0,18.005526,3.62,64.37
ADSK,240.86000061035156,192.01,279.53,-2.94000244140625,239.99000549316406,245.33999633789062,1267100.0,2020925.0,0.13618565,51907497984.0,52.36087,4.6,242.23
FDX,300.1400146484375,224.69,313.84,0.290008544921875,297.4700012207031,302.17999267578125,1200800.0,1766982.0,0.11183548,73324806144.0,17.45,17.2,298.59
UPS,128.8300018310547,124.8,188.32,-0.0099945068359375,128.4600067138672,129.86000061035156,7269900.0,4104874.0,-0.3115481,110221664256.0,21.016314,6.13,127.08
GM,44.119998931884766,26.3,50.5,-0.15999984741210938,43.65999984741211,44.54999923706055,18409100.0,14142908.0,0.14985669,49587347456.0,4.9573035,8.9,44.13
EXC,36.75,33.35,42.16,0.1399993896484375,36.529998779296875,36.880001068115234,4552500.0,7205719.0,-0.12207359,36751101952.0,15.772532,2.33,36.48
JNJ,160.63999938964844,143.13,175.97,0.8899993896484375,159.47000122070312,161.5800018310547,8356400.0,7306390.0,-0.041126966,386699034624.0,24.339394,6.6,159.64
BP,35.25,33.52,40.84,0.04000091552734375,34.959999084472656,35.41999816894531,7134400.0,7283606.0,-0.054959774,96901898240.0,10.879629,3.24,35.18
MCK,600.1599731445312,395.3,612.17,2.92999267578125,594.0399780273438,603.1699829101562,634100.0,719296.0,0.49145126,77847347200.0,26.804823,22.39,595.73
MGA,43.529998779296875,40.83,65.27,-0.020000457763671875,42.900001525878906,43.65999984741211,1087400.0,1826709.0,-0.3233328,12515396608.0,12.331445,3.53,43.23
VZ,40.09000015258789,30.14,43.42,0.18999862670898438,39.650001525878906,40.16999816894531,15908700.0,17336167.0,0.17634976,168759656448.0,15.071428,2.66,39.95
PLTR,27.18000030517578,13.68,29.83,0.18000030517578125,26.770000457763672,27.34000015258789,27372600.0,45346646.0,0.3699597,60527140864.0,226.5,0.12,26.63
DOCU,55.900001525878906,38.11,64.76,0.12000274658203125,55.29999923706055,56.5,1008500.0,2286216.0,0.038647294,11443624960.0,107.50001,0.52,55.1
JPC,7.590000152587891,5.94,7.8,-0.029999732971191406,7.590000152587891,7.639999866485596,713600.0,925425.0,0.14999998,2424883712.0,253.00002,0.03,7.58
MUC,11.130000114440918,9.19,11.38,0.010000228881835938,11.069999694824219,11.140000343322754,139500.0,235600.0,0.025806427,1048266880.0,55.65,0.2,11.07
NAC,11.59000015258789,9.32,11.78,0.07999992370605469,11.510000228881836,11.619999885559082,152900.0,422301.0,0.068202734,1677328000.0,15.051949,0.77,11.52
PCK,5.889999866485596,4.85,6.07,0.0,5.880000114440918,5.900000095367432,52900.0,67588.0,-0.026446283,189970160.0,12.020408,0.49,5.87
AAPL,217.9600067138672,164.08,237.23,-0.739990234375,216.00999450683594,219.49000549316406,41580100.0,68059888.0,0.109493494,3342220656640.0,33.897358,6.43,217.49
MSFT,425.2699890136719,309.45,468.35,7.069976806640625,417.2699890136719,428.9200134277344,23566500.0,18617125.0,0.26598597,3160738365440.0,36.88378,11.53,418.4
QCOM,180.0500030517578,104.33,230.63,1.040008544921875,177.57000732421875,181.3000030517578,6566000.0,10053003.0,0.3622607,200935800832.0,23.9747,7.51,175.39
META,465.70001220703125,274.38,542.81,1.5,459.4200134277344,469.7699890136719,14209300.0,13327972.0,0.46170747,1181262020608.0,26.810593,17.37,453.41
PANW,326.80999755859375,201.17,380.84,3.579986572265625,321.2699890136719,329.1600036621094,1709000.0,3306362.0,0.30744922,105821077504.0,47.15873,6.93,320.13
CRM,262.7099914550781,193.68,318.71,4.53997802734375,257.07000732421875,264.489990234375,6126400.0,8324309.0,0.16754806,254565974016.0,47.16517,5.57,256.52
GOOG,168.67999267578125,121.46,193.31,-0.0900115966796875,165.86500549316406,169.83999633789062,25135400.0,18067361.0,0.26722264,2065216569344.0,24.200861,6.97,169.16
ADBE,542.4400024414062,433.97,638.25,7.09002685546875,533.3300170898438,545.5,2089600.0,3344001.0,-0.006829381,240517890048.0,48.780575,11.12,532.15
IBM,191.75,135.87,199.18,1.2400054931640625,189.6199951171875,193.57000732421875,4294000.0,3707666.0,0.32993484,176142123008.0,21.187845,9.05,191.98
CSCO,47.880001068115234,44.95,58.19,0.5600013732910156,47.2400016784668,48.0099983215332,16104400.0,19907638.0,-0.07993853,192899432448.0,16.175676,2.96,47.24
WMT,69.77999877929688,49.84667,71.33,-0.45000457763671875,68.83000183105469,70.23999786376953,16787700.0,15426162.0,0.30952084,561278222336.0,29.948498,2.33,70.02
KVUE,18.690000534057617,17.67,24.435,0.31999969482421875,18.309999465942383,18.78499984741211,11484600.0,22115385.0,-0.21072638,35787800576.0,23.96154,0.78,18.25
BABA,76.52999877929688,66.63,102.5,1.2699966430664062,74.55000305175781,76.7699966430664,10864800.0,15643266.0,-0.25088096,181836038144.0,17.75638,4.31,75.4
TXN,201.99000549316406,139.48,210.84,1.5200042724609375,199.0800018310547,204.3800048828125,5384400.0,5252459.0,0.12216663,184426168320.0,34.946365,5.78,197.15
JPM,212.24000549316406,135.19,217.56,3.0,208.6199951171875,213.16000366210938,8027300.0,8989245.0,0.34363127,603844050944.0,11.837145,17.93,208.67
BAC,41.66999816894531,24.96,44.44,0.089996337890625,41.40999984741211,41.959999084472656,52039800.0,35656348.0,0.30218744,323973840896.0,14.621053,2.85,41.68
MS,104.19000244140625,69.42,109.11,-0.6699981689453125,104.04000091552734,105.88999938964844,6599600.0,6262570.0,0.13794231,168683618304.0,17.136515,6.08,103.56
V,259.4599914550781,227.78,290.96,3.8699951171875,255.58999633789062,261.20001220703125,7061500.0,8168841.0,0.091406226,504878039040.0,27.779442,9.34,253.74
PYPL,58.290000915527344,50.25,76.54,0.69000244140625,56.970001220703125,58.310001373291016,11316900.0,11917103.0,-0.23120546,60974256128.0,14.68262,3.97,57.22
SQ,60.18000030517578,38.85,87.52,-0.3699989318847656,59.86000061035156,61.65999984741211,11376400.0,7708783.0,-0.25270087,37133529088.0,100.299995,0.6,61.58
C,65.18000030517578,38.17,67.81,0.6299972534179688,64.44000244140625,65.6500015258789,9659300.0,12072245.0,0.3676039,125517127680.0,18.005526,3.62,64.37
ADSK,240.86000061035156,192.01,279.53,-2.94000244140625,239.99000549316406,245.33999633789062,1267100.0,2020925.0,0.13618565,51907497984.0,52.36087,4.6,242.23
FDX,300.1400146484375,224.69,313.84,0.290008544921875,297.4700012207031,302.17999267578125,1200800.0,1766982.0,0.11183548,73324806144.0,17.45,17.2,298.59
UPS,128.8300018310547,124.8,188.32,-0.0099945068359375,128.4600067138672,129.86000061035156,7269900.0,4104874.0,-0.3115481,110221664256.0,21.016314,6.13,127.08
GM,44.119998931884766,26.3,50.5,-0.15999984741210938,43.65999984741211,44.54999923706055,18409100.0,14142908.0,0.14985669,49587347456.0,4.9573035,8.9,44.13
EXC,36.75,33.35,42.16,0.1399993896484375,36.529998779296875,36.880001068115234,4552500.0,7205719.0,-0.12207359,36751101952.0,15.772532,2.33,36.48
JNJ,160.63999938964844,143.13,175.97,0.8899993896484375,159.47000122070312,161.5800018310547,8356400.0,7306390.0,-0.041126966,386699034624.0,24.339394,6.6,159.64
BP,35.25,33.52,40.84,0.04000091552734375,34.959999084472656,35.41999816894531,7134400.0,7283606.0,-0.054959774,96901898240.0,10.879629,3.24,35.18
MCK,600.1599731445312,395.3,612.17,2.92999267578125,594.0399780273438,603.1699829101562,634100.0,719296.0,0.49145126,77847347200.0,26.804823,22.39,595.73
MGA,43.529998779296875,40.83,65.27,-0.020000457763671875,42.900001525878906,43.65999984741211,1087400.0,1826709.0,-0.3233328,12515396608.0,12.331445,3.53,43.23
VZ,40.09000015258789,30.14,43.42,0.18999862670898438,39.650001525878906,40.16999816894531,15908700.0,17336167.0,0.17634976,168759656448.0,15.071428,2.66,39.95
PLTR,27.18000030517578,13.68,29.83,0.18000030517578125,26.770000457763672,27.34000015258789,27372600.0,45346646.0,0.3699597,60527140864.0,226.5,0.12,26.63
DOCU,55.900001525878906,38.11,64.76,0.12000274658203125,55.29999923706055,56.5,1008500.0,2286216.0,0.038647294,11443624960.0,107.50001,0.52,55.1
JPC,7.590000152587891,5.94,7.8,-0.029999732971191406,7.590000152587891,7.639999866485596,713600.0,925425.0,0.14999998,2424883712.0,253.00002,0.03,7.58
MUC,11.130000114440918,9.19,11.38,0.010000228881835938,11.069999694824219,11.140000343322754,139500.0,235600.0,0.025806427,1048266880.0,55.65,0.2,11.07
NAC,11.59000015258789,9.32,11.78,0.07999992370605469,11.510000228881836,11.619999885559082,152900.0,422301.0,0.068202734,1677328000.0,15.051949,0.77,11.52
PCK,5.889999866485596,4.85,6.07,0.0,5.880000114440918,5.900000095367432,52900.0,67588.0,-0.026446283,189970160.0,12.020408,0.49,5.87
